Event,Age_at_time_of_Swim,Time,Formatted_Time
100 FR SCY,24,49.315,0:49.31
100 FR SCY,28,49.980000000000004,0:49.98
100 IM SCY,5,121.87142857142858,2:01.87
100 IM SCY,6,105.9391304347826,1:45.94
100 IM SCY,7,101.23360000000001,1:41.23
100 IM SCY,8,90.76979591836734,1:30.77
100 IM SCY,9,83.03922261484098,1:23.04
100 IM SCY,10,77.05333333333333,1:17.05
100 IM SCY,11,69.97777777777777,1:09.98
100 IM SCY,12,65.5594623655914,1:05.56
100 IM SCY,13,62.31790697674419,1:02.32
100 IM SCY,14,60.48847457627119,1:00.49
100 IM SCY,15,60.1247619047619,1:00.12
100 IM SCY,16,58.45738095238095,0:58.46
100 IM SCY,17,58.63323529411765,0:58.63
100 IM SCY,18,57.33894736842105,0:57.34
100 IM SCY,19,57.36555555555555,0:57.37
100 IM SCY,20,56.91263157894736,0:56.91
100 IM SCY,21,56.406875,0:56.41
100 IM SCY,22,59.21,0:59.21
1000 FR SCY,8,723.4,12:03.40
1000 FR SCY,9,766.8666666666667,12:46.87
1000 FR SCY,10,740.3166666666666,12:20.32
1000 FR SCY,11,687.5282051282051,11:27.53
1000 FR SCY,12,664.6338028169014,11:04.63
1000 FR SCY,13,641.3425531914893,10:41.34
1000 FR SCY,14,629.6133333333333,10:29.61
1000 FR SCY,15,615.4685714285715,10:15.47
1000 FR SCY,16,605.0603448275862,10:05.06
1000 FR SCY,17,603.6619999999999,10:03.66
1000 FR SCY,18,592.0076923076923,9:52.01
1000 FR SCY,19,591.2695121951219,9:51.27
1000 FR SCY,20,590.5833333333334,9:50.58
1000 FR SCY,21,591.4954545454545,9:51.50
1000 FR SCY,22,594.528,9:54.53
1000 FR SCY,23,579.7,9:39.70
1000 FR SCY,24,555.2,9:15.20
1000 FR SCY,26,565.0999999999999,9:25.10
1000 FR SCY,27,567.95,9:27.95
1000 FR SCY,28,569.3,9:29.30
1000 FR SCY,29,564.45,9:24.45
1000 FR SCY,30,570.0,9:30.00
1000 FR SCY,31,568.5,9:28.50
1000 FR SCY,33,576.5,9:36.50
1650 FR SCY,8,1258.9,20:58.90
1650 FR SCY,9,1231.85,20:31.85
1650 FR SCY,10,1431.3,23:51.30
1650 FR SCY,11,1145.565,19:05.57
1650 FR SCY,12,1107.9228070175438,18:27.92
1650 FR SCY,13,1077.7722222222224,17:57.77
1650 FR SCY,14,1048.6671641791045,17:28.67
1650 FR SCY,15,1022.1035087719298,17:02.10
1650 FR SCY,16,1001.6157894736842,16:41.62
1650 FR SCY,17,1009.8904761904762,16:49.89
1650 FR SCY,18,979.2979166666668,16:19.30
1650 FR SCY,19,963.357627118644,16:03.36
1650 FR SCY,20,965.4627906976744,16:05.46
1650 FR SCY,21,961.2615384615384,16:01.26
1650 FR SCY,22,962.9444444444445,16:02.94
1650 FR SCY,23,968.9799999999999,16:08.98
1650 FR SCY,24,959.4,15:59.40
1650 FR SCY,25,901.4,15:01.40
1650 FR SCY,26,932.3499999999999,15:32.35
1650 FR SCY,27,942.2,15:42.20
1650 FR SCY,28,946.8,15:46.80
1650 FR SCY,29,931.0,15:31.00
1650 FR SCY,31,948.0,15:48.00
1650 FR SCY,34,952.6,15:52.60
200 BK SCY,8,151.3,2:31.30
200 BK SCY,9,162.64000000000001,2:42.64
200 BK SCY,10,149.78,2:29.78
200 BK SCY,11,144.62201257861636,2:24.62
200 BK SCY,12,135.4390909090909,2:15.44
200 BK SCY,13,131.62847222222223,2:11.63
200 BK SCY,14,126.6951871657754,2:06.70
200 BK SCY,15,123.84084967320263,2:03.84
200 BK SCY,16,120.52380952380952,2:00.52
200 BK SCY,17,119.68504273504273,1:59.69
200 BK SCY,18,117.0042735042735,1:57.00
200 BK SCY,19,116.02535211267606,1:56.03
200 BK SCY,20,115.55166666666666,1:55.55
200 BK SCY,21,114.2264705882353,1:54.23
200 BK SCY,22,115.06734693877551,1:55.07
200 BK SCY,23,115.65714285714286,1:55.66
200 BR SCY,9,192.20000000000002,3:12.20
200 BR SCY,10,178.78235294117647,2:58.78
200 BR SCY,11,166.9236641221374,2:46.92
200 BR SCY,12,157.15467980295568,2:37.15
200 BR SCY,13,151.71445427728614,2:31.71
200 BR SCY,14,145.93895705521473,2:25.94
200 BR SCY,15,143.51756097560974,2:23.52
200 BR SCY,16,139.7156862745098,2:19.72
200 BR SCY,17,139.76809523809524,2:19.77
200 BR SCY,18,135.72562499999998,2:15.73
200 BR SCY,19,133.20730337078652,2:13.21
200 BR SCY,20,131.09863013698632,2:11.10
200 BR SCY,21,130.18785046728973,2:10.19
200 BR SCY,22,131.58194444444445,2:11.58
200 BR SCY,23,133.3857142857143,2:13.39
200 FL SCY,9,157.7,2:37.70
200 FL SCY,10,162.60909090909092,2:42.61
200 FL SCY,11,150.36774193548388,2:30.37
200 FL SCY,12,140.34137931034482,2:20.34
200 FL SCY,13,134.490635451505,2:14.49
200 FL SCY,14,128.56953846153846,2:08.57
200 FL SCY,15,125.71638655462185,2:05.72
200 FL SCY,16,121.63568075117371,2:01.64
200 FL SCY,17,121.88577777777778,2:01.89
200 FL SCY,18,119.06206896551724,1:59.06
200 FL SCY,19,117.242194092827,1:57.24
200 FL SCY,20,116.62741935483871,1:56.63
200 FL SCY,21,116.21953125,1:56.22
200 FL SCY,22,114.70185185185184,1:54.70
200 FL SCY,23,114.075,1:54.08
200 FL SCY,24,115.2,1:55.20
200 FR SCY,6,197.2,3:17.20
200 FR SCY,7,179.5666666666667,2:59.57
200 FR SCY,8,170.15945945945944,2:50.16
200 FR SCY,9,154.97488986784143,2:34.97
200 FR SCY,10,143.40965732087227,2:23.41
200 FR SCY,11,132.18506329113924,2:12.19
200 FR SCY,12,123.76639830508473,2:03.77
200 FR SCY,13,119.48574552683897,1:59.49
200 FR SCY,14,115.88882599580712,1:55.89
200 FR SCY,15,112.77471604938272,1:52.77
200 FR SCY,16,111.09149758454106,1:51.09
200 FR SCY,17,110.28209770114943,1:50.28
200 FR SCY,18,108.7753164556962,1:48.78
200 FR SCY,19,107.77748837209302,1:47.78
200 FR SCY,20,107.43321212121212,1:47.43
200 FR SCY,21,107.30157534246575,1:47.30
200 FR SCY,22,107.2095652173913,1:47.21
200 FR SCY,23,107.12481481481481,1:47.12
200 FR SCY,24,107.0,1:47.00
200 FR SCY,26,107.94000000000001,1:47.94
200 FR SCY,27,108.6,1:48.60
200 FR SCY,28,108.814,1:48.81
200 FR SCY,30,108.9,1:48.90
200 IM SCY,6,215.75555555555556,3:35.76
200 IM SCY,7,197.82105263157894,3:17.82
200 IM SCY,8,186.709375,3:06.71
200 IM SCY,9,171.44,2:51.44
200 IM SCY,10,159.9206489675516,2:39.92
200 IM SCY,11,150.0311475409836,2:30.03
200 IM SCY,12,139.85097192224623,2:19.85
200 IM SCY,13,134.0886524822695,2:14.09
200 IM SCY,14,129.7270909090909,2:09.73
200 IM SCY,15,126.30585774058576,2:06.31
200 IM SCY,16,124.39340369393139,2:04.39
200 IM SCY,17,123.53828715365239,2:03.54
200 IM SCY,18,121.35488215488216,2:01.35
200 IM SCY,19,119.76124031007753,1:59.76
200 IM SCY,20,118.94857142857144,1:58.95
200 IM SCY,21,117.85696202531646,1:57.86
200 IM SCY,22,117.73296703296704,1:57.73
200 IM SCY,23,114.94615384615385,1:54.95
400 IM SCY,9,350.23333333333335,5:50.23
400 IM SCY,10,322.64166666666665,5:22.64
400 IM SCY,11,306.5692307692308,5:06.57
400 IM SCY,12,291.2197278911565,4:51.22
400 IM SCY,13,282.2386363636364,4:42.24
400 IM SCY,14,273.6574468085106,4:33.66
400 IM SCY,15,268.8388059701492,4:28.84
400 IM SCY,16,264.09476439790575,4:24.09
400 IM SCY,17,261.7657458563536,4:21.77
400 IM SCY,18,257.32689075630253,4:17.33
400 IM SCY,19,251.69612403100774,4:11.70
400 IM SCY,20,251.49487179487178,4:11.49
400 IM SCY,21,251.0194805194805,4:11.02
400 IM SCY,22,247.53333333333333,4:07.53
400 IM SCY,24,248.3,4:08.30
400 IM SCY,27,240.8,4:00.80
50 FR SCY,5,55.47925,0:55.48
50 FR SCY,6,45.86608695652174,0:45.87
50 FR SCY,7,40.43755,0:40.44
50 FR SCY,8,35.56572674418605,0:35.57
50 FR SCY,9,33.09006711409396,0:33.09
50 FR SCY,10,30.59058236272878,0:30.59
50 FR SCY,11,28.131416234887737,0:28.13
50 FR SCY,12,26.372559322033897,0:26.37
50 FR SCY,13,25.401185840707964,0:25.40
50 FR SCY,14,24.726581352833637,0:24.73
50 FR SCY,15,24.0715611814346,0:24.07
50 FR SCY,16,23.790348258706466,0:23.79
50 FR SCY,17,23.777630922693266,0:23.78
50 FR SCY,18,23.57819607843137,0:23.58
50 FR SCY,19,22.888539823008852,0:22.89
50 FR SCY,20,22.70785714285714,0:22.71
50 FR SCY,21,22.46941798941799,0:22.47
50 FR SCY,22,22.272786885245903,0:22.27
50 FR SCY,23,22.15941176470588,0:22.16
500 FR SCY,6,522.8499999999999,8:42.85
500 FR SCY,7,422.5125,7:02.51
500 FR SCY,8,423.7421052631579,7:03.74
500 FR SCY,9,393.4913043478261,6:33.49
500 FR SCY,10,375.54887218045116,6:15.55
500 FR SCY,11,350.54538152610445,5:50.55
500 FR SCY,12,329.37568493150684,5:29.38
500 FR SCY,13,316.16134185303514,5:16.16
500 FR SCY,14,307.0124567474049,5:07.01
500 FR SCY,15,299.6560311284047,4:59.66
500 FR SCY,16,294.65450450450453,4:54.65
500 FR SCY,17,294.80841121495325,4:54.81
500 FR SCY,18,289.7266331658291,4:49.73
500 FR SCY,19,286.27272727272725,4:46.27
500 FR SCY,20,286.4144385026738,4:46.41
500 FR SCY,21,286.3911458333333,4:46.39
500 FR SCY,22,285.47999999999996,4:45.48
500 FR SCY,23,282.71923076923076,4:42.72
500 FR SCY,24,284.075,4:44.07
500 FR SCY,26,283.26000000000005,4:43.26
500 FR SCY,27,277.6,4:37.60
500 FR SCY,28,284.64,4:44.64
500 FR SCY,29,280.0,4:40.00
500 FR SCY,30,283.1,4:43.10
500 FR SCY,31,281.125,4:41.12
